Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-10-16,157.9,160.0,157.65,159.88,24121452.0,0.0,1.0,37.728633729688774,38.23040783249021,37.66889871745051,38.201735026615836,96485808.0
2017-10-13,156.73,157.28,156.41,156.99,16394188.0,0.0,1.0,37.449073872413685,37.580490899337875,37.372613056748705,37.51119828514148,65576752.0
2017-10-12,156.35,157.37,155.7299,156.0,16125054.0,0.0,1.0,37.35827665381152,37.60199550374365,37.210109929455726,37.27464763667795,64500216.0
2017-10-11,155.97,156.98,155.75,156.55,16905640.0,0.0,1.0,37.26747943520936,37.50880888465195,37.214912624439684,37.40606466360214,67622560.0
2017-10-10,156.055,158.0,155.1,155.9,15617014.0,0.0,1.0,37.28778933937037,37.75252773458408,37.05960159262019,37.25075363178264,62468056.0
2017-10-09,155.81,156.73,155.485,155.84,16262923.0,0.0,1.0,37.229249027376866,37.449073872413685,37.15159351146713,37.23641722884546,65051692.0
2017-10-06,154.97,155.49,154.56,155.3,17407558.0,0.0,1.0,37.02853938625629,37.152788211711886,36.93057396618554,37.107389602410805,69630232.0
2017-10-05,154.18,155.44,154.05,155.39,21283769.0,0.0,1.0,36.83977674758338,37.14084120926423,36.80871454121948,37.128894206816575,85135076.0
2017-10-04,153.63,153.86,152.46,153.48,20163750.0,0.0,1.0,36.70835972065919,36.7633159319184,36.42879986338411,36.67251871331623,80655000.0
2017-10-03,154.01,155.09,153.91,154.48,16230293.0,0.0,1.0,36.79915693926135,37.05721219213066,36.77526293436605,36.91145876226929,64921172.0
2017-10-02,154.26,154.45,152.72,153.81,18698842.0,0.0,1.0,36.858891951499615,36.904290560800696,36.4909242761119,36.75136892947074,74795368.0
2017-09-29,153.21,154.13,152.0,154.12,26299810.0,0.0,1.0,36.608004900098905,36.82782974513572,36.318887440865694,36.82544034464619,105199240.0
2017-09-28,153.89,154.28,152.7,153.28,22005455.0,0.0,1.0,36.77048413338698,36.86367075247868,36.48614547513284,36.624730703525614,88021820.0
2017-09-27,153.8,154.7189,153.54,154.23,25504227.0,0.0,1.0,36.74897952898121,36.96854153996418,36.68685511625341,36.85172375003103,102016908.0
2017-09-26,151.78,153.92,151.69,153.14,36660045.0,0.0,1.0,36.26632063009602,36.777652334855574,36.24481602569024,36.59127909667218,146640180.0
2017-09-25,149.99,151.83,149.16,150.55,44387336.0,0.0,1.0,35.83861794247004,36.278267632543674,35.640297701838996,35.972424369883754,177549344.0
2017-09-22,152.02,152.27,150.56,151.89,46645443.0,0.0,1.0,36.32366624184476,36.383401254083026,35.97481377037328,36.292604035480856,186581772.0
2017-09-21,155.8,155.8,152.75,153.39,37511661.0,0.0,1.0,37.22685962688734,37.22685962688734,36.49809247758049,36.65101410891045,150046644.0
2017-09-20,157.9,158.26,153.83,156.07,52951364.0,0.0,1.0,37.728633729688774,37.814652147311875,36.756147730449804,37.291373440104664,211805456.0
2017-09-19,159.51,159.77,158.44,158.73,20810632.0,0.0,1.0,38.1133272085032,38.175451621231005,37.85766135612342,37.926953970319815,83242528.0
2017-09-18,160.11,160.5,157.995,158.67,28269435.0,0.0,1.0,38.256691237875046,38.349877856966735,37.75133303433931,37.912617567382625,113077740.0
2017-09-15,158.47,160.97,158.0,159.88,49114602.0,0.0,1.0,37.86482955759202,38.462179679974675,37.75252773458408,38.201735026615836,196458408.0
2017-09-14,158.99,159.4,158.09,158.28,23760749.0,0.0,1.0,37.98907838304761,38.08704380311837,37.774032338989855,37.819430948290936,95042996.0
2017-09-13,159.87,159.96,157.91,159.65,44907361.0,0.0,1.0,38.19934562612631,38.220850230532086,37.7310231301783,38.14677881535663,179629444.0
2017-09-12,162.61,163.96,158.77,160.86,71714046.0,0.0,1.0,38.8540413602577,39.17661042634434,37.93651157227794,38.435896274589844,286856184.0
2017-09-11,160.5,162.05,159.89,161.5,31580798.0,0.0,1.0,38.349877856966735,38.72023493284399,38.20412442710536,38.588817905919804,126323192.0
2017-09-08,160.86,161.15,158.53,158.63,28611535.0,0.0,1.0,38.435896274589844,38.50518888878623,37.8791659605292,37.903059965424504,114446140.0
2017-09-07,162.09,162.24,160.36,161.26,21928502.0,0.0,1.0,38.72979253480211,38.76563354214507,38.31642625011331,38.53147229417106,87714008.0
2017-09-06,162.71,162.99,160.52,161.91,21651726.0,0.0,1.0,38.87793536515301,38.944838578859866,38.3546566579458,38.686783325990554,86606904.0
2017-09-05,163.75,164.25,160.56,162.08,29536314.0,0.0,1.0,39.1264330160642,39.245903040540725,38.364214259903925,38.72740313431258,118145256.0
2017-09-01,164.8,164.94,163.63,164.05,16591051.0,0.0,1.0,39.377320067464915,39.41077167431834,39.097760210189826,39.19811503075012,66364204.0
2017-08-31,163.64,164.52,163.48,164.0,26785096.0,0.0,1.0,39.10014961067935,39.310416853758056,39.061919202846866,39.18616802830246,107140384.0
2017-08-30,163.8,163.89,162.61,163.35,27269584.0,0.0,1.0,39.13838001851185,39.15988462291762,38.8540413602577,39.03085699648297,109078336.0
2017-08-29,160.1,163.12,160.0,162.91,29516910.0,0.0,1.0,38.25430183738551,38.975900785223764,38.23040783249021,38.92572337494362,118067640.0
2017-08-28,160.14,162.0,159.93,161.47,25965972.0,0.0,1.0,38.26385943934363,38.70828793039633,38.21368202906349,38.58164970445121,103863888.0
2017-08-25,159.65,160.56,159.27,159.86,25480063.0,0.0,1.0,38.14677881535663,38.364214259903925,38.05598159675447,38.19695622563678,101920252.0
2017-08-24,160.43,160.74,158.55,159.27,19818918.0,0.0,1.0,38.333152053540026,38.40722346871547,37.88394476150827,38.05598159675447,79275672.0
2017-08-23,159.07,160.47,158.88,159.98,19399081.0,0.0,1.0,38.008193586963856,38.34270965549815,37.962794977662774,38.22562903151114,77596324.0
