Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-08,153.94,155.03,153.55,154.81,3520279.0,0.0,1.0,130.315217865884,131.23793832498373,129.98507017868317,131.0517011681012,3520279.0
2017-12-07,154.03,154.45,153.26,153.57,3771429.0,0.0,1.0,130.39140579369956,130.7469494568389,129.73957574461076,130.00200082930886,3771429.0
2017-12-06,155.69,156.22,154.09,154.1,3410513.0,0.0,1.0,131.79664979563128,132.24531203721187,130.4421977455766,130.45066307088945,3410513.0
2017-12-05,156.45,156.74,154.68,155.35,5068043.0,0.0,1.0,132.44001451940724,132.68550895347965,130.94165193903427,131.50882873499467,5068043.0
2017-12-04,155.67,156.8,155.07,156.46,4664316.0,0.0,1.0,131.77971914500557,132.7363009053567,131.2717996262351,132.44847984472008,4664316.0
2017-12-01,154.4,155.02,152.9125,154.76,5567597.0,0.0,1.0,130.7046228302747,131.2294729996709,129.4454056899895,131.009374541537,5567597.0
2017-11-30,153.65,154.41,153.08,153.97,6496133.0,0.0,1.0,130.06972343181158,130.71308815558754,129.58719988897963,130.34061384182252,6496133.0
2017-11-29,152.81,153.61,152.17,153.55,5095567.0,0.0,1.0,129.3586361055329,130.03586213056022,128.81685528551102,129.98507017868317,5095567.0
2017-11-28,152.35,152.93,151.7,152.47,3973670.0,0.0,1.0,128.96923114114216,129.46022000928699,128.41898499580745,129.07081504489628,3973670.0
2017-11-27,152.06,152.49,151.62,151.98,3373892.0,0.0,1.0,128.72373670706978,129.08774569552196,128.35126239330475,128.65601410456702,3373892.0
2017-11-24,151.95,152.2,151.33,151.84,1193025.0,0.0,1.0,128.6306181286285,128.84225126144955,128.10576795923234,128.53749955018725,1193025.0
2017-11-22,152.0,152.39,151.33,151.77,3212796.0,0.0,1.0,128.67294475519273,129.00309244239352,128.10576795923234,128.47824227299736,3212796.0
2017-11-21,151.3,152.45,151.2,151.95,3756159.0,0.0,1.0,128.08037198329382,129.05388439427057,127.99571873016538,128.6306181286285,3756159.0
2017-11-20,150.64,151.95,149.9,150.51,5675763.0,0.0,1.0,127.52166051264625,128.6306181286285,126.89522643949599,127.4116112835793,5675763.0
2017-11-17,149.34,150.15,148.83,148.97,4916449.0,0.0,1.0,126.42116822197684,127.10685957231702,125.98943663102193,126.1079511854017,4916449.0
2017-11-16,147.73,149.65,147.5,149.12,5446218.0,0.0,1.0,125.05825084660934,126.68359330667494,124.86354836441399,126.23493106509433,5446218.0
2017-11-15,148.0,148.705,146.211,147.1,4773328.0,0.0,1.0,125.28681463005607,125.8836200646114,123.7723679315887,124.52493535190031,4773328.0
2017-11-14,147.95,148.97,147.49,148.89,3751129.0,0.0,1.0,125.24448800349185,126.1079511854017,124.85508303910115,126.04022858289896,3751129.0
2017-11-13,148.88,149.0,147.92,148.4,5107222.0,0.0,1.0,126.03176325758612,126.13334716134023,125.21909202755333,125.62542764256973,5107222.0
2017-11-10,150.65,150.89,149.14,149.16,4306943.0,0.0,1.0,127.5301258379591,127.73329364546728,126.25186171572,126.26879236634569,4306943.0
2017-11-09,149.93,151.8,149.86,150.3,4776056.0,1.5,1.0,126.92062241543451,128.50363824893589,126.86136513824462,127.23383945200965,4776056.0
2017-11-08,151.6,151.7944,150.28,151.57,4630031.0,0.0,1.0,127.06620593494506,127.22914571353182,125.9598247223189,127.04106090738537,4630031.0
2017-11-07,151.37,151.51,150.5,151.35,3701052.0,0.0,1.0,126.87342739032081,126.990770852266,126.14422159108992,126.85666403861434,3701052.0
2017-11-06,151.77,151.82,150.28,150.84,4498820.0,0.0,1.0,127.20869442444996,127.25060280371609,125.9598247223189,126.4291985700997,4498820.0
2017-11-03,153.42,153.47,151.49,151.58,4431321.0,0.0,1.0,128.59167094023266,128.6335793194988,126.97400750055955,127.04944258323862,4431321.0
2017-11-02,154.18,154.49,152.91,153.35,3397125.0,0.0,1.0,129.22867830507803,129.48851025652812,128.164205471718,128.53299920926005,3397125.0
2017-11-01,154.1,154.9,153.83,154.03,3240246.0,0.0,1.0,129.1616248982522,129.8321589665105,128.93531965021504,129.1029531672796,3240246.0
2017-10-31,154.33,154.93,152.93,154.06,4328258.0,0.0,1.0,129.35440344287647,129.85730399407018,128.18096882342448,129.12809819483928,4328258.0
2017-10-30,153.76,154.59,152.71,154.36,4210302.0,0.0,1.0,128.87664791924243,129.5723270150604,127.99657195465345,129.37954847043616,4210302.0
2017-10-27,154.54,154.63,152.911,153.68,4895186.0,0.0,1.0,129.53041863579426,129.60585371847333,128.16504363930332,128.80959451241662,4895186.0
2017-10-26,154.31,155.12,153.54,153.6,4299513.0,0.0,1.0,129.33764009117002,130.01655583528154,128.6922510504714,128.74254110559076,4299513.0
